owner_or_insured_id,Age,Gender,Education_Level
9101,72,M,Tertiary
10728,66,M,Tertiary
2039,50,F,Tertiary
10827,18,M,Primary_or_below
1919,63,M,Secondary
7062,41,F,Tertiary
1690,34,F,Secondary
3006,32,F,Secondary
1329,36,F,Secondary
4609,45,F,Primary_or_below
5497,72,F,Tertiary
4115,47,M,Primary_or_below
1584,42,F,Tertiary
6643,68,M,Tertiary
4458,54,F,Secondary
7473,45,M,Secondary
7739,24,F,Primary_or_below
7903,35,F,Tertiary
2828,40,F,Tertiary
8262,37,F,Tertiary
8282,40,M,Primary_or_below
9708,34,F,Secondary
3813,52,F,Tertiary
1835,25,M,Secondary
2900,22,F,Tertiary
9141,41,F,Primary_or_below
4166,65,F,Secondary
4675,34,F,Tertiary
7850,39,F,Secondary
9765,23,M,Tertiary
2694,76,M,Secondary
2253,27,M,Primary_or_below
5936,74,M,Tertiary
9290,21,F,Tertiary
4050,47,M,Tertiary
6083,62,M,Secondary
7489,80,F,Tertiary
9584,22,M,Secondary
5643,45,M,Primary_or_below
8039,48,F,Secondary
7742,33,F,Secondary
3421,24,M,Secondary
8335,69,M,Primary_or_below
10143,31,F,Primary_or_below
4091,22,F,Secondary
7913,29,F,Tertiary
7563,78,M,Secondary
8428,25,M,Primary_or_below
8804,50,F,Secondary
9047,27,F,Primary_or_below
4937,77,F,Tertiary
9877,77,F,Secondary
3844,78,F,Tertiary
9997,60,F,Primary_or_below
4260,48,M,Tertiary
10166,61,M,Tertiary
10194,69,M,Tertiary
10224,22,F,Primary_or_below
2454,29,M,Primary_or_below
10362,34,M,Secondary
10809,61,M,Primary_or_below
3704,26,F,Tertiary
2170,38,F,Primary_or_below
2204,75,M,Secondary
8443,58,M,Tertiary
5951,54,M,Tertiary
1216,39,M,Tertiary
10074,43,M,Primary_or_below
3689,25,M,Secondary
3881,59,M,Primary_or_below
8964,50,F,Secondary
8822,61,M,Primary_or_below
3925,45,M,Primary_or_below
6754,53,M,Tertiary
6791,77,F,Secondary
5144,43,F,Secondary
7129,76,F,Secondary
5319,77,F,Secondary
1668,45,F,Secondary
2409,79,F,Secondary
2388,39,M,Tertiary
9678,43,F,Primary_or_below
1467,55,F,Tertiary
10222,35,M,Tertiary
2505,36,F,Secondary
10451,47,F,Primary_or_below
10179,28,M,Tertiary
4063,38,F,Tertiary
6903,57,F,Primary_or_below
8654,77,M,Tertiary
2393,54,F,Tertiary
3114,35,M,Tertiary
3302,71,F,Tertiary
6924,73,F,Primary_or_below
5173,65,F,Tertiary
4481,34,F,Secondary
10258,73,F,Secondary
9442,22,M,Tertiary
5846,74,F,Primary_or_below
4445,60,F,Primary_or_below
6710,80,M,Tertiary
7500,43,M,Primary_or_below
7855,58,M,Tertiary
2348,78,M,Secondary
3708,53,M,Tertiary
9769,22,M,Tertiary
9906,35,M,Tertiary
1595,34,F,Tertiary
5861,73,M,Primary_or_below
6397,53,M,Tertiary
8260,26,M,Secondary
8235,35,F,Secondary
8474,22,F,Tertiary
8694,41,M,Primary_or_below
9641,80,M,Secondary
10402,77,M,Primary_or_below
2207,46,F,Secondary
2493,60,M,Secondary
1854,67,F,Primary_or_below
9838,33,M,Secondary
8643,64,F,Secondary
10572,45,F,Primary_or_below
2094,70,F,Secondary
3177,27,F,Secondary
7445,31,M,Secondary
8324,55,M,Secondary
6695,29,F,Tertiary
1744,73,M,Tertiary
6098,34,F,Secondary
8809,44,M,Primary_or_below
10935,61,M,Tertiary
10009,58,F,Primary_or_below
7248,67,F,Tertiary
8535,69,M,Tertiary
7014,67,M,Tertiary
6511,72,M,Secondary
9552,21,M,Tertiary
2994,50,M,Tertiary
8930,50,M,Secondary
7794,38,F,Primary_or_below
8516,24,F,Primary_or_below
7837,37,F,Secondary
8417,74,M,Secondary
5802,63,F,Primary_or_below
10182,63,M,Secondary
1413,66,F,Secondary
2363,26,F,Primary_or_below
8406,80,M,Tertiary
4607,43,M,Tertiary
9755,29,M,Primary_or_below
5630,56,F,Tertiary
3327,26,F,Tertiary
5838,77,M,Tertiary
3486,47,F,Primary_or_below
6574,69,M,Primary_or_below
6590,37,M,Primary_or_below
8019,55,F,Tertiary
7181,31,M,Primary_or_below
2970,61,M,Secondary
7842,38,F,Primary_or_below
2107,38,F,Secondary
2377,79,M,Primary_or_below
4818,41,F,Tertiary
1518,22,F,Tertiary
3793,27,M,Secondary
6919,45,F,Tertiary
9496,37,M,Secondary
9643,77,F,Secondary
2745,24,F,Tertiary
1104,39,M,Tertiary
10249,29,F,Tertiary
10026,32,F,Primary_or_below
10089,35,M,Primary_or_below
3399,61,M,Primary_or_below
3464,56,F,Secondary
9089,76,M,Secondary
10885,37,M,Secondary
6701,40,M,Tertiary
1959,31,F,Tertiary
4145,61,M,Primary_or_below
2736,76,F,Secondary
6387,73,M,Tertiary
9445,53,F,Secondary
2955,66,M,Secondary
7593,66,M,Primary_or_below
4169,19,M,Primary_or_below
4217,64,F,Primary_or_below
4282,50,M,Primary_or_below
1500,46,F,Secondary
6232,58,F,Secondary
8734,39,M,Primary_or_below
1484,39,F,Secondary
4891,20,F,Tertiary
4099,41,M,Tertiary
5324,33,F,Secondary
9671,28,F,Secondary
7278,29,M,Tertiary
5823,76,M,Primary_or_below
5974,42,M,Primary_or_below
5848,58,M,Primary_or_below
9390,80,M,Secondary
6455,77,M,Tertiary
8195,73,F,Secondary
9673,46,F,Primary_or_below
5338,58,F,Primary_or_below
1289,22,F,Secondary
8961,20,F,Tertiary
2887,49,F,Primary_or_below
10659,44,M,Secondary
1556,37,M,Secondary
9117,63,F,Tertiary
8095,27,F,Primary_or_below
6646,26,F,Primary_or_below
8328,64,F,Primary_or_below
1992,73,F,Tertiary
8179,47,M,Secondary
3395,67,F,Secondary
5841,80,M,Tertiary
8963,49,F,Tertiary
8623,29,F,Secondary
8968,27,M,Tertiary
3650,54,M,Tertiary
2105,68,F,Tertiary
10922,35,F,Primary_or_below
1833,56,F,Primary_or_below
10834,23,M,Secondary
1181,76,F,Secondary
2846,42,M,Primary_or_below
10339,80,M,Secondary
9672,39,M,Secondary
4745,77,M,Secondary
6441,41,M,Primary_or_below
6508,45,M,Primary_or_below
1680,46,F,Secondary
10065,80,F,Primary_or_below
1848,36,F,Secondary
8683,66,M,Tertiary
6002,19,F,Tertiary
10200,73,M,Primary_or_below
6862,76,M,Primary_or_below
7324,32,M,Secondary
10996,55,F,Primary_or_below
10371,69,M,Primary_or_below
6096,32,F,Tertiary
8367,45,M,Secondary
8815,26,M,Tertiary
9020,77,M,Secondary
4558,53,F,Tertiary
2973,42,M,Tertiary
3605,70,F,Primary_or_below
9429,60,M,Primary_or_below
7561,65,F,Primary_or_below
4543,28,M,Tertiary
4173,20,F,Secondary
8774,35,M,Secondary
2031,19,F,Tertiary
8365,36,M,Secondary
9262,18,F,Secondary
6482,68,M,Tertiary
4114,43,M,Primary_or_below
4061,21,M,Primary_or_below
5761,42,M,Tertiary
9910,53,F,Tertiary
5055,66,M,Secondary
5647,68,M,Primary_or_below
1415,28,F,Secondary
5790,53,M,Primary_or_below
2820,48,M,Tertiary
8658,50,M,Tertiary
2431,64,F,Tertiary
2835,26,F,Secondary
6392,27,F,Secondary
1414,25,F,Primary_or_below
3379,52,F,Tertiary
9044,22,M,Tertiary
4991,30,M,Primary_or_below
1834,42,M,Secondary
7412,52,M,Secondary
9830,71,F,Secondary
1455,46,F,Primary_or_below
10072,34,M,Tertiary
7423,33,M,Primary_or_below
8952,56,M,Primary_or_below
2425,75,F,Secondary
4545,21,M,Primary_or_below
4740,20,F,Secondary
7379,80,M,Primary_or_below
5379,29,M,Tertiary
5404,18,M,Primary_or_below
8168,57,F,Tertiary
10479,40,M,Secondary
1344,75,M,Tertiary
5580,47,F,Secondary
10686,23,M,Tertiary
6954,56,M,Primary_or_below
1797,63,M,Secondary
5764,40,F,Tertiary
5659,51,M,Secondary
8626,39,F,Secondary
6331,60,F,Secondary
5700,20,M,Secondary
2683,25,M,Secondary
4044,44,M,Secondary
9331,45,M,Primary_or_below
10406,71,F,Tertiary
10058,65,M,Tertiary
1569,60,F,Tertiary
1936,66,M,Secondary
5033,64,F,Secondary
5850,24,F,Secondary
4235,57,F,Secondary
9409,46,M,Secondary
2029,73,M,Tertiary
7468,74,M,Primary_or_below
7495,30,F,Tertiary
9898,22,F,Primary_or_below
10705,25,M,Tertiary
7619,79,F,Primary_or_below
3651,48,F,Tertiary
7712,31,M,Secondary
8031,70,F,Primary_or_below
8851,78,F,Tertiary
1567,59,F,Primary_or_below
8717,46,F,Primary_or_below
6883,23,F,Tertiary
2908,31,F,Secondary
9869,35,M,Secondary
7235,68,M,Tertiary
2126,65,M,Tertiary
6534,64,F,Tertiary
9220,44,F,Tertiary
6639,71,M,Primary_or_below
3403,63,F,Secondary
9599,19,F,Tertiary
2514,77,M,Tertiary
3984,77,M,Tertiary
8939,77,M,Primary_or_below
2214,26,M,Primary_or_below
10883,68,M,Tertiary
7896,69,M,Tertiary
1886,33,M,Secondary
5182,44,F,Tertiary
1545,38,F,Secondary
1751,75,F,Tertiary
1605,53,M,Secondary
1930,56,M,Secondary
2061,46,M,Secondary
2086,30,M,Secondary
6709,36,F,Tertiary
2233,75,F,Secondary
10875,54,M,Tertiary
8895,74,M,Secondary
3500,39,F,Tertiary
3648,80,F,Primary_or_below
1400,34,M,Primary_or_below
10862,24,F,Tertiary
9516,50,M,Secondary
6750,22,M,Secondary
6107,65,F,Primary_or_below
4538,22,M,Tertiary
8373,71,M,Tertiary
5960,58,F,Primary_or_below
1805,71,F,Primary_or_below
4709,18,F,Tertiary
4086,38,F,Secondary
8180,24,M,Tertiary
4908,34,F,Secondary
8020,69,F,Primary_or_below
6733,73,F,Primary_or_below
3251,33,F,Primary_or_below
9226,23,F,Tertiary
4637,77,M,Primary_or_below
1806,65,F,Tertiary
2228,61,M,Primary_or_below
2842,41,M,Secondary
3140,38,M,Secondary
5735,23,F,Tertiary
10350,68,F,Secondary
6191,28,F,Secondary
7337,70,F,Primary_or_below
6469,77,F,Tertiary
9272,21,M,Tertiary
2344,79,M,Tertiary
4963,80,M,Secondary
6786,52,M,Primary_or_below
8033,54,F,Primary_or_below
4090,43,F,Primary_or_below
6916,55,F,Primary_or_below
1120,34,F,Tertiary
8473,33,M,Tertiary
2262,33,F,Tertiary
1007,35,M,Tertiary
7983,69,F,Primary_or_below
8110,50,F,Secondary
10452,50,F,Tertiary
8243,49,M,Secondary
7292,73,F,Tertiary
8292,67,F,Secondary
2840,64,F,Secondary
3505,72,M,Secondary
1086,41,F,Primary_or_below
3621,65,F,Secondary
9619,66,F,Secondary
9232,42,M,Tertiary
5167,73,F,Tertiary
2738,43,F,Secondary
1377,80,F,Primary_or_below
2367,78,M,Secondary
10492,37,F,Secondary
9835,75,F,Tertiary
10782,74,M,Primary_or_below
4972,80,M,Tertiary
8947,37,M,Primary_or_below
1101,40,F,Secondary
1122,71,F,Secondary
1138,31,F,Tertiary
4620,23,M,Primary_or_below
7734,23,F,Secondary
3740,47,M,Primary_or_below
10354,25,M,Primary_or_below
9258,29,F,Primary_or_below
8026,67,F,Secondary
1980,48,M,Secondary
9628,56,F,Primary_or_below
2116,75,F,Tertiary
1824,52,F,Secondary
2980,65,F,Primary_or_below
5701,77,F,Secondary
3646,29,M,Secondary
1129,74,M,Tertiary
5921,22,F,Tertiary
5855,24,M,Primary_or_below
4245,35,M,Secondary
10336,49,M,Primary_or_below
7917,75,F,Primary_or_below
5514,58,F,Secondary
3570,24,M,Secondary
3660,24,F,Tertiary
3682,49,M,Secondary
3804,48,M,Tertiary
3995,20,M,Primary_or_below
6677,18,F,Secondary
5006,64,F,Primary_or_below
5614,74,F,Primary_or_below
1423,31,M,Tertiary
5581,70,F,Primary_or_below
4135,78,M,Secondary
3280,22,F,Secondary
6339,69,M,Primary_or_below
3507,31,F,Secondary
1369,62,M,Primary_or_below
10430,32,M,Tertiary
4614,53,F,Primary_or_below
4708,72,F,Tertiary
4837,57,M,Secondary
6314,42,F,Tertiary
5040,56,F,Primary_or_below
10621,47,M,Tertiary
2402,78,F,Primary_or_below
5754,67,M,Tertiary
10573,24,F,Tertiary
10151,33,M,Secondary
5932,64,F,Primary_or_below
6277,44,F,Tertiary
8121,65,F,Primary_or_below
6406,55,M,Secondary
6569,47,M,Tertiary
2021,59,F,Secondary
5682,73,M,Primary_or_below
6679,60,M,Tertiary
10555,35,M,Tertiary
6878,73,M,Tertiary
6994,25,F,Primary_or_below
7044,69,F,Tertiary
7040,47,M,Secondary
9589,40,F,Primary_or_below
8272,76,M,Secondary
7346,43,M,Tertiary
5760,41,M,Primary_or_below
7948,24,F,Secondary
7881,67,F,Primary_or_below
7085,33,F,Secondary
5501,49,M,Tertiary
5993,41,M,Tertiary
3451,27,F,Secondary
8463,49,F,Tertiary
10656,49,F,Tertiary
10747,24,F,Secondary
2362,46,F,Tertiary
7406,74,M,Tertiary
1743,33,F,Tertiary
5538,41,M,Primary_or_below
9363,38,M,Primary_or_below
9069,74,F,Secondary
6603,46,M,Secondary
9670,45,M,Tertiary
10752,66,F,Tertiary
9510,51,M,Tertiary
7025,69,F,Tertiary
6420,19,F,Primary_or_below
2599,33,M,Secondary
2418,27,F,Tertiary
3330,52,M,Secondary
9883,75,M,Secondary
8729,68,M,Tertiary
5773,38,M,Secondary
9489,54,F,Secondary
9512,74,F,Tertiary
5013,25,M,Tertiary
8494,40,M,Secondary
1963,42,M,Primary_or_below
8987,24,F,Secondary
10837,70,M,Primary_or_below
5885,19,F,Tertiary
4651,53,M,Secondary
5604,52,M,Secondary
4910,42,F,Tertiary
1357,58,F,Tertiary
4529,27,M,Secondary
4121,66,F,Tertiary
9743,42,M,Secondary
4196,57,M,Primary_or_below
9647,73,M,Tertiary
9860,26,M,Tertiary
8105,66,F,Primary_or_below
1707,78,M,Secondary
4340,73,F,Primary_or_below
4673,58,F,Primary_or_below
6519,38,F,Tertiary
8385,20,M,Secondary
4905,36,M,Secondary
5905,50,F,Secondary
9190,74,M,Primary_or_below
2771,37,F,Tertiary
5353,61,M,Secondary
6145,50,F,Secondary
9705,52,M,Secondary
10288,36,F,Tertiary
5781,47,F,Primary_or_below
7804,68,F,Secondary
10063,42,F,Secondary
6240,35,M,Tertiary
6742,25,F,Secondary
4536,54,M,Primary_or_below
2193,72,M,Primary_or_below
6461,78,F,Secondary
6798,36,M,Primary_or_below
7017,35,F,Primary_or_below
8063,60,F,Secondary
3235,36,M,Primary_or_below
10813,80,F,Secondary
3346,72,F,Tertiary
6263,18,F,Primary_or_below
10580,48,F,Secondary
5746,77,F,Secondary
7746,67,F,Tertiary
7927,47,M,Secondary
7939,64,F,Primary_or_below
9544,34,M,Secondary
10828,58,M,Primary_or_below
10698,56,M,Tertiary
8449,40,M,Secondary
4170,37,F,Secondary
10849,22,F,Secondary
8575,32,M,Tertiary
8659,48,M,Primary_or_below
7110,46,F,Primary_or_below
10685,70,F,Secondary
8867,54,M,Primary_or_below
3386,66,M,Secondary
9383,28,F,Primary_or_below
9311,57,M,Primary_or_below
7103,52,M,Tertiary
6421,49,M,Primary_or_below
4025,40,F,Secondary
2183,80,F,Secondary
10030,53,F,Tertiary
3941,20,M,Primary_or_below
9111,43,M,Tertiary
9494,23,F,Primary_or_below
6652,52,M,Primary_or_below
10440,58,M,Tertiary
1572,46,M,Primary_or_below
10554,51,F,Primary_or_below
1596,78,F,Tertiary
2144,71,F,Primary_or_below
3894,65,F,Secondary
2812,50,F,Secondary
1200,29,F,Secondary
6440,36,F,Secondary
1383,42,F,Tertiary
1512,75,F,Tertiary
1536,73,M,Secondary
9013,38,M,Tertiary
6918,26,F,Secondary
1949,46,M,Secondary
1979,40,M,Secondary
2033,77,F,Primary_or_below
2125,36,M,Tertiary
5908,51,F,Tertiary
2917,39,M,Tertiary
1331,25,F,Primary_or_below
6935,43,M,Tertiary
7273,60,M,Primary_or_below
4394,22,F,Primary_or_below
6885,56,F,Primary_or_below
3091,61,M,Primary_or_below
3970,41,M,Tertiary
6130,72,F,Secondary
3080,67,M,Tertiary
3367,70,M,Tertiary
3485,42,M,Secondary
5533,41,M,Primary_or_below
3442,72,F,Tertiary
3479,38,M,Tertiary
8926,54,M,Secondary
3554,61,F,Secondary
3560,66,M,Primary_or_below
7884,27,M,Tertiary
3344,22,F,Tertiary
3966,18,F,Secondary
4094,25,M,Secondary
10599,26,M,Tertiary
9593,72,M,Primary_or_below
1336,37,M,Primary_or_below
6362,40,M,Primary_or_below
7341,31,M,Secondary
4765,58,F,Secondary
2731,38,F,Secondary
5663,19,F,Tertiary
6664,39,F,Secondary
6602,47,F,Primary_or_below
3877,63,M,Tertiary
2191,79,M,Secondary
5214,51,F,Tertiary
5216,50,F,Tertiary
5434,30,M,Tertiary
5448,51,M,Secondary
5450,73,M,Tertiary
5550,71,F,Primary_or_below
8625,67,F,Tertiary
4969,31,M,Tertiary
5916,68,M,Primary_or_below
5938,30,F,Primary_or_below
5122,52,F,Secondary
2515,20,M,Primary_or_below
9895,34,M,Primary_or_below
5565,50,F,Secondary
6007,51,F,Tertiary
8444,47,F,Tertiary
7134,68,F,Secondary
8346,21,M,Tertiary
8447,76,F,Secondary
2587,28,F,Primary_or_below
7582,56,M,Secondary
2653,52,M,Primary_or_below
4768,35,F,Primary_or_below
5010,39,F,Secondary
8052,36,M,Secondary
4343,40,F,Secondary
3456,32,F,Primary_or_below
4884,24,M,Primary_or_below
8203,42,F,Secondary
10184,73,M,Tertiary
9952,67,M,Primary_or_below
9916,58,F,Secondary
10401,43,F,Secondary
8889,79,M,Primary_or_below
2510,70,M,Tertiary
9513,50,M,Primary_or_below
4232,58,M,Primary_or_below
10522,43,F,Primary_or_below
9184,65,M,Secondary
2271,43,F,Secondary
6426,28,M,Primary_or_below
7878,45,M,Tertiary
6889,39,M,Secondary
5860,43,F,Primary_or_below
10275,33,M,Primary_or_below
1017,74,F,Secondary
4511,59,F,Secondary
9741,24,M,Primary_or_below
7304,52,M,Secondary
1211,53,F,Tertiary
8632,65,M,Primary_or_below
1587,44,M,Secondary
7070,67,M,Secondary
1739,74,M,Secondary
9078,56,F,Tertiary
2158,62,M,Secondary
6740,76,M,Secondary
2202,56,M,Secondary
10403,33,M,Secondary
2460,57,F,Secondary
1190,80,M,Tertiary
4002,20,F,Secondary
8646,33,M,Tertiary
8204,70,M,Tertiary
9739,21,F,Tertiary
9759,76,M,Tertiary
4489,64,M,Primary_or_below
7857,56,F,Tertiary
6054,30,M,Primary_or_below
6647,62,F,Tertiary
2415,34,M,Primary_or_below
1951,43,M,Secondary
1237,53,F,Primary_or_below
4980,18,F,Secondary
4501,39,M,Secondary
9623,42,F,Primary_or_below
4168,20,F,Tertiary
10154,40,M,Primary_or_below
9401,79,F,Tertiary
4436,43,F,Secondary
7229,76,F,Secondary
5001,26,M,Tertiary
3438,67,M,Secondary
5668,69,M,Primary_or_below
7114,38,F,Secondary
8858,68,M,Primary_or_below
5878,70,M,Primary_or_below
8594,75,F,Secondary
1877,36,M,Secondary
6342,45,F,Secondary
1705,20,M,Tertiary
6453,36,M,Primary_or_below
5738,75,F,Secondary
6580,53,F,Primary_or_below
6279,25,F,Secondary
5495,73,M,Primary_or_below
9205,44,M,Tertiary
6824,60,F,Tertiary
9425,57,F,Primary_or_below
6931,26,F,Primary_or_below
5387,39,M,Primary_or_below
10405,58,M,Secondary
7755,76,F,Primary_or_below
9174,65,F,Tertiary
8906,77,F,Tertiary
1066,38,F,Primary_or_below
10417,49,F,Tertiary
9211,51,M,Primary_or_below
1899,25,M,Secondary
9889,28,M,Tertiary
7333,35,F,Tertiary
4940,59,M,Primary_or_below
10329,34,F,Primary_or_below
8404,58,M,Secondary
2690,64,F,Tertiary
5649,19,F,Secondary
8519,39,F,Primary_or_below
9114,32,M,Primary_or_below
6356,71,F,Tertiary
7252,41,F,Tertiary
7397,30,M,Tertiary
6378,77,M,Secondary
3392,77,F,Tertiary
9531,54,F,Secondary
1376,72,F,Primary_or_below
6507,69,M,Primary_or_below
1444,50,M,Tertiary
1020,28,F,Secondary
4867,55,M,Tertiary
5928,67,M,Primary_or_below
3515,21,M,Tertiary
10997,25,M,Tertiary
3640,70,M,Primary_or_below
8491,29,F,Secondary
7464,57,M,Tertiary
3920,29,F,Primary_or_below
2857,72,F,Tertiary
4144,28,F,Tertiary
9821,71,M,Primary_or_below
6298,20,F,Primary_or_below
4442,44,F,Primary_or_below
4480,57,F,Tertiary
10513,72,M,Secondary
6684,25,F,Primary_or_below
4402,64,M,Tertiary
4441,35,M,Primary_or_below
1003,77,M,Primary_or_below
5202,79,F,Primary_or_below
1074,44,M,Tertiary
1108,20,M,Primary_or_below
2737,36,F,Secondary
6120,28,M,Tertiary
3366,71,M,Secondary
1459,64,M,Primary_or_below
10777,31,F,Tertiary
3620,80,F,Primary_or_below
2502,57,M,Tertiary
2553,48,F,Primary_or_below
1820,71,F,Tertiary
2719,64,M,Primary_or_below
5503,54,F,Primary_or_below
9954,41,F,Tertiary
9417,19,F,Primary_or_below
4919,67,M,Primary_or_below
4827,64,F,Secondary
3310,45,F,Secondary
5789,38,M,Primary_or_below
9520,58,F,Tertiary
9875,19,M,Tertiary
6539,66,F,Secondary
5451,23,M,Tertiary
6683,28,M,Secondary
6123,67,M,Tertiary
1777,75,M,Tertiary
7000,60,M,Secondary
4367,25,M,Tertiary
10445,47,F,Primary_or_below
2004,43,F,Primary_or_below
5609,28,M,Primary_or_below
7393,67,F,Tertiary
5313,70,M,Secondary
9382,52,M,Secondary
7565,45,M,Primary_or_below
5416,54,M,Secondary
10472,48,F,Primary_or_below
5915,72,M,Secondary
5987,18,F,Primary_or_below
7075,25,M,Primary_or_below
6736,73,F,Secondary
8409,31,M,Tertiary
2776,31,F,Secondary
4573,21,F,Tertiary
8992,71,M,Tertiary
9041,59,F,Tertiary
7775,67,M,Primary_or_below
9132,45,F,Secondary
10088,72,M,Tertiary
9524,76,F,Tertiary
9538,63,M,Secondary
2293,64,F,Tertiary
5137,75,F,Tertiary
9900,32,F,Secondary
9974,56,F,Secondary
10331,57,M,Primary_or_below
10432,25,M,Tertiary
10447,43,F,Primary_or_below
3454,73,F,Tertiary
1356,31,F,Tertiary
2478,59,M,Primary_or_below
10858,44,F,Secondary
1111,80,M,Primary_or_below
10380,19,M,Secondary
2730,70,M,Primary_or_below
6413,25,F,Secondary
9076,24,M,Tertiary
6460,57,M,Secondary
3625,26,F,Secondary
6129,47,M,Primary_or_below
1704,44,M,Secondary
5745,53,M,Tertiary
5872,52,M,Secondary
5127,44,F,Secondary
1346,69,F,Primary_or_below
6501,37,M,Tertiary
2531,51,F,Tertiary
1105,73,F,Primary_or_below
4425,37,M,Tertiary
5706,67,F,Primary_or_below
9996,23,M,Primary_or_below
7053,28,M,Tertiary
4162,45,M,Tertiary
7695,18,M,Tertiary
8831,75,F,Tertiary
6988,48,F,Primary_or_below
8740,46,F,Primary_or_below
10788,61,M,Secondary
6522,23,M,Secondary
7048,69,F,Secondary
3827,68,F,Primary_or_below
3815,52,F,Tertiary
1998,69,M,Secondary
7344,64,M,Secondary
7370,24,M,Secondary
8196,23,F,Primary_or_below
6499,18,M,Secondary
4432,66,M,Tertiary
1611,20,F,Tertiary
2619,54,M,Secondary
5249,71,M,Tertiary
6156,66,F,Primary_or_below
7801,53,M,Primary_or_below
1507,49,M,Secondary
5337,45,M,Primary_or_below
4368,71,F,Tertiary
6146,49,F,Primary_or_below
1766,34,M,Secondary
6514,59,M,Tertiary
8698,35,F,Tertiary
2203,33,M,Primary_or_below
3662,50,M,Tertiary
6445,54,F,Primary_or_below
7591,36,M,Primary_or_below
7543,38,F,Tertiary
2250,54,F,Primary_or_below
8619,24,F,Secondary
4814,65,M,Tertiary
7305,39,M,Tertiary
10584,38,M,Secondary
9432,78,M,Secondary
7232,46,M,Secondary
9186,28,M,Primary_or_below
10414,58,F,Secondary
1528,76,M,Secondary
2263,67,M,Primary_or_below
10204,18,M,Primary_or_below
4271,39,F,Tertiary
9182,63,M,Primary_or_below
2277,25,M,Tertiary
3072,29,F,Secondary
9328,66,F,Secondary
4845,35,F,Secondary
2671,79,F,Primary_or_below
